"","Isolate","Accession_number","Collection_time","Country","Continent","Clade","Source"
"61","ERR133906","ERR133906",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"62","ERR133895","ERR133895",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"63","ERR137262","ERR137262",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"64","ERR234698","ERR234698",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"65","ERR108458","ERR108458",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"66","ERR234609","ERR234609",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"67","ERR229924","ERR229924",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"68","ERR158613","ERR158613",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"69","ERR144633","ERR144633",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"70","ERR137281","ERR137281",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"71","ERR133959","ERR133959",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"72","ERR108475","ERR108475",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"73","ERR133831","ERR133831",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"74","ERR137220","ERR137220",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"75","ERR137277","ERR137277",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"76","ERR133886","ERR133886",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"77","ERR229946","ERR229946",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"78","ERR144597","ERR144597",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"79","ERR144615","ERR144615",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"80","ERR158592","ERR158592",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
"81","ERR133806","ERR133806",2009,"Samara, Russia","Europe","Beijing_cladeA","Casali et al. (2014)"
