"","Isolate","Accession_number","Collection_time","Location","Global_clade","Source"
"67","A/Victoria/469/2012","EPI_ISL_134473",2012.682,"Victoria","","GISAID"
"68","A/Denmark/36/2012","EPI_ISL_122644",2012.234,"Denmark","","GISAID"
"69","A/Yopougon/GR414/2012","EPI_ISL_132043",2012.294,"Yopougon","","GISAID"
"70","A/Plateau/GR582/2012","EPI_ISL_132042",2012.411,"Plateau","","GISAID"
"71","A/Thailand/CU-H3141/2012","EPI_ISL_205361",2012.023,"Thailand","","GISAID"
"72","A/Utah/17/2012","EPI_ISL_122131",2012.417,"Utah","","GISAID"
"73","A/Townsville/4/2012","EPI_ISL_172967",2012.223,"Townsville","","GISAID"
"74","A/Yaounde/11V-19343/2011","EPI_ISL_107910",2011.821,"Yaounde","","GISAID"
"75","A/Finland/275/2012","EPI_ISL_121465",2012.143,"Finland","","GISAID"
"76","A/Nigeria/7762/2012","EPI_ISL_138684",2012.775,"Nigeria","","GISAID"
"77","A/Tanzania/303/2012","EPI_ISL_134877",2012.884,"Tanzania","","GISAID"
"78","A/Lebanon/11L007/2011","EPI_ISL_140701",2011.588,"Lebanon","","GISAID"
"79","A/StPetersburg/RII25/2012","EPI_ISL_135908",2012.146,"StPetersburg","","GISAID"
"80","A/Johannesburg/5903/2012","EPI_ISL_132037",2012.504,"Johannesburg","","GISAID"
"81","A/Nigeria/5402/2012","EPI_ISL_138009",2012.133,"Nigeria","","GISAID"
"82","A/Tehran/34891/2013","EPI_ISL_156584",2013.505,"Tehran","","GISAID"
"83","A/Southaustralia/2/2013","EPI_ISL_288258",2013.023,"Southaustralia","","GISAID"
"84","A/India/LKO875/2011","EPI_ISL_161350",2011.577,"India","","GISAID"
"85","A/India/LKO983/2011","EPI_ISL_149951",2011.648,"India","","GISAID"
"86","A/India/LKO1442/2012","EPI_ISL_149952",2012.061,"India","","GISAID"
"87","A/India/LKO1501/2012","EPI_ISL_149953",2012.122,"India","","GISAID"
"88","A/India/LKO3154/2012","EPI_ISL_161357",2012.985,"India","","GISAID"
"89","A/Srilanka/24/2011","EPI_ISL_118582",2011.916,"Srilanka","","GISAID"
"90","A/HongKong/3974/2011","EPI_ISL_96093",2011.475,"HongKong","","GISAID"
"91","A/Bangladesh/1/2012","EPI_ISL_260561",2012.542,"Bangladesh","","GISAID"
"92","A/Bangladesh/5071/2011","EPI_ISL_99071",2011.379,"Bangladesh","","GISAID"
"93","A/Wellington/14/2011","EPI_ISL_99768",2011.53,"Wellington","","GISAID"
"94","A/Wellington/9/2011","EPI_ISL_99743",2011.489,"Wellington","","GISAID"
"95","A/Thailand/CU-B4730/2011","EPI_ISL_205401",2011.41,"Thailand","","GISAID"
"96","A/Iceland/22/2012","EPI_ISL_122655",2012.217,"Iceland","","GISAID"
"97","A/Santiago/3564/2012","EPI_ISL_119879",2012.029,"Santiago","","GISAID"
"98","A/PuertoRico/3/2011","EPI_ISL_98824",2011.648,"PuertoRico","","GISAID"
"99","A/Yamagata/92/2012","EPI_ISL_113368",2012.1,"Yamagata","","GISAID"
"100","A/Wyoming/9/2011","EPI_ISL_102459",2011.996,"Wyoming","","GISAID"
"101","A/Paris/84/2012","EPI_ISL_106773",2012.029,"Paris","","GISAID"
"102","A/Tanzania/1314/2012","EPI_ISL_135840",2012.064,"Tanzania","","GISAID"
"103","A/Turkey/9/2011","EPI_ISL_117488",2011.952,"Turkey","","GISAID"
"104","A/Victoria/555/2011","EPI_ISL_99748",2011.596,"Victoria","","GISAID"
"105","A/Peru/PER346/2011","EPI_ISL_152837",2011.884,"Peru","","GISAID"
