"","Isolate","Accession_number","Collection_time","Location","Global_clade","Source"
"283","A/Santiago/70123/2014","EPI_ISL_171369",2014.818,"Santiago","3C.3","GISAID"
"284","A/Tocantins/18288/2015","EPI_ISL_176767",2015.166,"Tocantins","3C.3","GISAID"
"285","A/CruzAlta/LACENRS-2623/2014","EPI_ISL_263223",2014.799,"CruzAlta","3C.3","GISAID"
"286","A/SantaCruzdoSul/LACENRS-1625/2014","EPI_ISL_263136",2014.552,"SantaCruzdoSul","3C.3","GISAID"
"287","A/Viamao/LACENRS-733/2014","EPI_ISL_263237",2014.404,"Viamao","3C.3","GISAID"
"288","A/Sapporo/116/2014","EPI_ISL_160170",2013.188,"Sapporo","3C.3","GISAID"
"289","A/Wisconsin/45/2013","EPI_ISL_154818",2013.955,"Wisconsin","3C.3","GISAID"
"290","A/VelikyNovgorod/223/2014","EPI_ISL_165586",2014.267,"VelikyNovgorod","3C.3","GISAID"
"291","B/Victoria/108/2015","EPI_ISL_255542",2015.695,"Victoria","3C.3","GISAID"
"292","A/SriLanka/48/2014","EPI_ISL_171815",2014.538,"SriLanka","3C.3","GISAID"
"293","A/Srilanka/42/2014","EPI_ISL_168921",2014.423,"Srilanka","3C.3","GISAID"
"294","A/Oman/3676/2014","EPI_ISL_168985",2014.467,"Oman","3C.3b","GISAID"
"295","A/Lithuania/10716/2014","EPI_ISL_165564",2014.275,"Lithuania","3C.3b","GISAID"
"296","A/Lithuania/5879/2014","EPI_ISL_165567",2014.152,"Lithuania","3C.3b","GISAID"
"297","A/Lithuania/11496/2014","EPI_ISL_166229",2014.295,"Lithuania","3C.3b","GISAID"
"298","A/Taiwan/504/2015","EPI_ISL_193020",2015.207,"Taiwan","3C.3b","GISAID"
"299","A/Taiwan/775/2015","EPI_ISL_193029",2015.385,"Taiwan","3C.3b","GISAID"
"300","A/Belgium/H80/2014","EPI_ISL_170275",2014.744,"Belgium","3C.3b","GISAID"
"301","A/Poland/1900/2015","EPI_ISL_193174",2015.253,"Poland","3C.3b","GISAID"
"302","A/Ukraine/6808/2015","EPI_ISL_190938",2015.278,"Ukraine","3C.3b","GISAID"
"303","A/Tucuman/I2377/2014","EPI_ISL_172636",2014.733,"Tucuman","3C.3b","GISAID"
"304","A/Victoria/503/2014","EPI_ISL_288226",2014.341,"Victoria","3C.3b","GISAID"
"305","A/Victoria/5076/2014","EPI_ISL_288174",2014.821,"Victoria","3C.3b","GISAID"
"306","A/Norway/3011/2014","EPI_ISL_169230",2014.766,"Norway","3C.3b","GISAID"
"307","A/Madrid/SO12318/2014","EPI_ISL_165572",2014.445,"Madrid","3C.3b","GISAID"
"308","A/Kenya/258/2013","EPI_ISL_145934",2013.056,"Kenya","3C.3","GISAID"
"309","A/Kenya/118/2013","EPI_ISL_144299",2013.325,"Kenya","3C.3","GISAID"
"310","A/Tanzania/3100/2013","EPI_ISL_157092",2013.963,"Tanzania","3C.3","GISAID"
"311","A/RiodeJaneiro/34/2014","EPI_ISL_166795",2014.059,"RiodeJaneiro","3C.3","GISAID"
"312","A/Brazil/3459/2013","EPI_ISL_148739",2013.585,"Brazil","3C.3","GISAID"
"313","A/Zambia/13/109","EPI_ISL_162154",2013,"Zambia","2013.722","GISAID"
"314","A/Uganda/1590/2014","EPI_ISL_177540",2014.399,"Uganda","3C.3","GISAID"
"315","A/Rwanda/211/2014","EPI_ISL_160182",2014.188,"Rwanda","3C.3","GISAID"
"316","A/SouthAfrica/4671/2013","EPI_ISL_145495",2013.481,"SouthAfrica","3C.3","GISAID"
"317","A/Zambia/13/127","EPI_ISL_162155",2013,"Zambia","2013.612","GISAID"
"318","A/Southafrica/4952/2014","EPI_ISL_168912",2014.475,"Southafrica","3C.3","GISAID"
"319","A/SouthAfrica/5416/2014","EPI_ISL_165652",2014.5,"SouthAfrica","3C.3","GISAID"
"320","A/Zambia/6-037/2014","EPI_ISL_175068",2014.275,"Zambia","3C.3","GISAID"
"321","A/Zambia/4-303/2014","EPI_ISL_171762",2014.87,"Zambia","3C.3","GISAID"
"322","A/Zambia/4-288/2014","EPI_ISL_179373",2014.944,"Zambia","3C.3","GISAID"
"323","A/Zambia/6-024/2014","EPI_ISL_175067",2014.705,"Zambia","3C.3","GISAID"
"324","A/Zambia/4-00021/2015","EPI_ISL_201640",2015.07,"Zambia","3C.3","GISAID"
"325","A/Zambia/2-00106/2015","EPI_ISL_201645",2015.229,"Zambia","3C.3","GISAID"
"326","A/Hangzhou/A469/2013","EPI_ISL_191134",2013.574,"Hangzhou","3C.3","GISAID"
"327","A/Wisconsin/6/2014","EPI_ISL_159525",2014.185,"Wisconsin","3C.3","GISAID"
"328","A/Wisconsin/5/2014","EPI_ISL_158076",2014.13,"Wisconsin","3C.3","GISAID"
"329","A/Venezuela/7/2014","EPI_ISL_172735",2014.59,"Venezuela","3C.3","GISAID"
"330","A/Viamao/LACENRS-974/2015","EPI_ISL_263252",2015.385,"Viamao","3C.3","GISAID"
"331","A/Suzhou/1275/2013","EPI_ISL_153076",2013.256,"Suzhou","3C.3","GISAID"
"332","A/WestVirginia/6/2013","EPI_ISL_145124",2013.552,"WestVirginia","3C.3","GISAID"
"333","A/Para/129501-IEC/2014","EPI_ISL_168563",2014.289,"Para","3C.3","GISAID"
"334","A/Tuvalu/2/2013","EPI_ISL_151474",2013.333,"Tuvalu","3C.3","GISAID"
"335","A/Wyoming/1/2013","EPI_ISL_134766",2013.007,"Wyoming","3C.3","GISAID"
"336","A/Valparaiso/47927/2014","EPI_ISL_169834",2014.571,"Valparaiso","3C.3","GISAID"
"337","A/Srilanka/27/2013","EPI_ISL_148747",2013.158,"Srilanka","3C.3","GISAID"
"338","A/Yamaguchi/31/2012","EPI_ISL_132580",2012.876,"Yamaguchi","3C.3","GISAID"
"339","A/Yokohama/159/2012","EPI_ISL_132501",2012.832,"Yokohama","3C.3","GISAID"
"340","A/Stockholm/6/2014","EPI_ISL_166996",2014.1,"Stockholm","3C.3","GISAID"
"341","A/Austria/96/2014","EPI_ISL_164162",2014.486,"Austria","3C.3","GISAID"
"342","A/Srilanka/29/2014","EPI_ISL_166031",2014.382,"Srilanka","3C.3","GISAID"
"343","A/Wisconsin/27/2014","EPI_ISL_167954",2014.593,"Wisconsin","3C.3","GISAID"
"344","A/Oman/4289/2014","EPI_ISL_168986",2014.571,"Oman","3C.3","GISAID"
"345","A/Wisconsin/11/2014","EPI_ISL_164720",2014.388,"Wisconsin","3C.3","GISAID"
"346","A/Uruguay/86/2015","EPI_ISL_199504",2015.61,"Uruguay","3C.3","GISAID"
"347","A/Zonguldak/3161/2016","EPI_ISL_232877",2016.097,"Zonguldak","3C.3","GISAID"
"348","A/Norway/2665/2015","EPI_ISL_209094",2015.856,"Norway","3C.3","GISAID"
"349","A/Finland/586/2016","EPI_ISL_226086",2016.124,"Finland","3C.3","GISAID"
"350","A/Switzerland/9715293/2013-egg","EPI_ISL_165829",2013.93,"Switzerland","3C.3a","GISAID"
"351","A/Macau/610289/2014","EPI_ISL_166137",2014.075,"Macau","3C.3a","GISAID"
"352","A/Kobe/63/2014","EPI_ISL_169606",2014.385,"Kobe","3C.3a","GISAID"
"353","A/Yokohama/89/2014","EPI_ISL_169193",2014.738,"Yokohama","3C.3a","GISAID"
"354","A/Waikato/8/2014","EPI_ISL_168945",2014.467,"Waikato","3C.3a","GISAID"
"355","A/Wellington/81/2014","EPI_ISL_168963",2014.637,"Wellington","3C.3a","GISAID"
"356","A/Vietnam/594/2014","EPI_ISL_172795",2014.621,"Vietnam","3C.3a","GISAID"
"357","A/Shandong-Zhifu/1499/2014","EPI_ISL_279459",2014.76,"Shandong-Zhifu","3C.3a","GISAID"
"358","A/Vietnam/630/2014","EPI_ISL_172604",2014.955,"Vietnam","3C.3a","GISAID"
"359","A/Vietnam/627/2014","EPI_ISL_172605",2014.873,"Vietnam","3C.3a","GISAID"
"360","A/Victoria/806/2014","EPI_ISL_288224",2014.322,"Victoria","3C.3a","GISAID"
"361","A/Jiangxi-Donghu/11101/2014","EPI_ISL_168374",2014.442,"Jiangxi-Donghu","3C.3a","GISAID"
"362","A/Nepal/464/2014","EPI_ISL_213039",2014.237,"Nepal","3C.3a","GISAID"
"363","A/Wakayama-C/88/2014","EPI_ISL_166857",2014.464,"Wakayama-C","3C.3a","GISAID"
"364","A/Guangdong/753/2014","EPI_ISL_272698",2014.366,"Guangdong","3C.3a","GISAID"
"365","A/Yunnan-Wenshan/1904/2014","EPI_ISL_169668",2014.916,"Yunnan-Wenshan","3C.3a","GISAID"
"366","A/Nepal/1642A/2014","EPI_ISL_176600",2014.673,"Nepal","3C.3a","GISAID"
"367","A/India/6216/2014","EPI_ISL_165321",2014.1,"India","3C.3a","GISAID"
"368","A/Madagascar/3069/2014","EPI_ISL_171756",2014.807,"Madagascar","3C.3a","GISAID"
"369","A/Madagascar/2395/2014","EPI_ISL_175039",2014.648,"Madagascar","3C.3a","GISAID"
"370","A/Nepal/1564/2014","EPI_ISL_213044",2014.599,"Nepal","3C.3a","GISAID"
"371","A/Nepal/630/2014","EPI_ISL_213040",2014.273,"Nepal","3C.3a","GISAID"
"372","A/Tianjin-Hexi/195/2015","EPI_ISL_178032",2015.086,"Tianjin-Hexi","3C.3a","GISAID"
"373","A/Ulaanbaatar/4846/2014","EPI_ISL_171869",2014.974,"Ulaanbaatar","3C.3a","GISAID"
"374","A/Virginia/8/2014","EPI_ISL_160203",2014.264,"Virginia","3C.3a","GISAID"
"375","A/Switzerland/9715293/2013","EPI_ISL_162149",2013.93,"Switzerland","3C.3a","GISAID"
"376","A/Vietnam/7/2014","EPI_ISL_192833",2014.407,"Vietnam","3C.3a","GISAID"
"377","A/Tasmania/11/2014","EPI_ISL_288221",2014.204,"Tasmania","3C.3a","GISAID"
"378","A/SouthAustralia/55/2014","EPI_ISL_288203",2014.492,"SouthAustralia","3C.3a","GISAID"
"379","A/Finland/440/2014","EPI_ISL_165549",2014.322,"Finland","3C.3a","GISAID"
"380","A/Norway/466/2014","EPI_ISL_162129",2014.092,"Norway","3C.3a","GISAID"
"381","A/Wellington/94/2014","EPI_ISL_192834",2014.708,"Wellington","3C.3a","GISAID"
"382","A/Sichuan-Gaoxin/1192/2014","EPI_ISL_169744",2014.667,"Sichuan-Gaoxin","3C.3a","GISAID"
"383","A/Yunnan-Wenshan/1805/2015","EPI_ISL_207833",2015.76,"Yunnan-Wenshan","3C.3a","GISAID"
"384","A/Zhejiang-Yuecheng/1909/2016","EPI_ISL_242498",2016.794,"Zhejiang-Yuecheng","3C.3a","GISAID"
"385","A/Thailand/CU-H3656/2014","EPI_ISL_205396",2014.67,"Thailand","3C.3a","GISAID"
"386","A/SaudiArabia/8/2014","EPI_ISL_257195",2014.758,"SaudiArabia","3C.3a","GISAID"
"387","A/Yunnan-Linxiang/11032/2014","EPI_ISL_169662",2014.842,"Yunnan-Linxiang","3C.3a","GISAID"
"388","A/Zhejiang-Yongkang/1968/2016","EPI_ISL_242484",2016.922,"Zhejiang-Yongkang","3C.3a","GISAID"
"389","A/Tokyo/34254/2014","EPI_ISL_169226",2014.651,"Tokyo","3C.3a","GISAID"
"390","A/Yokosuka/9/2014","EPI_ISL_171875",2014.919,"Yokosuka","3C.3a","GISAID"
"391","A/Yokohama/92/2014","EPI_ISL_169194",2014.801,"Yokohama","3C.3a","GISAID"
"392","A/Talca/79797/2015","EPI_ISL_207456",2015.848,"Talca","3C.3a","GISAID"
"393","A/Valdivia/72413/2015","EPI_ISL_203315",2015.763,"Valdivia","3C.3a","GISAID"
"394","A/Roraima/144238-IEC/2016","EPI_ISL_247964",2016.799,"Roraima","3C.3a","GISAID"
"395","A/Nevada/22/2016","EPI_ISL_222079",2016.173,"Nevada","3C.3a","GISAID"
"396","A/Valparaiso/63203/2016","EPI_ISL_259487",2016.671,"Valparaiso","3C.3a","GISAID"
"397","A/Uganda/2447/2016","EPI_ISL_255342",2016.928,"Uganda","3C.3a","GISAID"
"398","A/Perth/22/2016","EPI_ISL_289090",2016.288,"Perth","3C.3a","GISAID"
"399","A/Idaho/33/2016","EPI_ISL_232560",2016.433,"Idaho","3C.3a","GISAID"
"400","A/Idaho/33/2016-egg","EPI_ISL_230320",2016.433,"Idaho","3C.3a","GISAID"
"401","A/Wellington/4/2016","EPI_ISL_233289",2016.548,"Wellington","3C.3a","GISAID"
"402","A/Townsville/51/2016","EPI_ISL_246674",2016.949,"Townsville","3C.3a","GISAID"
"403","A/Victoria/504/2016","EPI_ISL_233842",2016.37,"Victoria","3C.3a","GISAID"
"404","A/NewZealand/831/2016","EPI_ISL_235066",2016.633,"NewZealand","3C.3a","GISAID"
"405","A/Nc/4690/2014","EPI_ISL_303855",2014.281,"Nc","3C.3a","GISAID"
"406","A/Texas/88/2016","EPI_ISL_222065",2016.149,"Texas","3C.3a","GISAID"
"407","A/Peru/27/2015","EPI_ISL_192696",2015.281,"Peru","3C.3a","GISAID"
"408","A/Kenya/160/2018","EPI_ISL_339852",2018.582,"Kenya","3C.3a","GISAID"
"409","A/Colombia/6646/2017","EPI_ISL_303263",2017.859,"Colombia","3C.3a","GISAID"
"410","A/Virginia/27/2017","EPI_ISL_275956",2017.264,"Virginia","3C.3a","GISAID"
"411","A/Texas/71/2017","EPI_ISL_275955",2017.21,"Texas","3C.3a","GISAID"
"412","A/Brazil/4139/2018","EPI_ISL_330897",2018.593,"Brazil","3C.3a","GISAID"
"413","A/Pernambuco/151608-IEC/2018","EPI_ISL_329823",2018.127,"Pernambuco","3C.3a","GISAID"
"414","A/SantaCatarina/918/2017","EPI_ISL_292525",2017.79,"SantaCatarina","3C.3a","GISAID"
"415","A/Kansas/14/2017-egg","EPI_ISL_312833",2017.952,"Kansas","3C.3a1","GISAID"
"416","A/Kansas/14/2017","EPI_ISL_298310",2017.952,"Kansas","3C.3a1","GISAID"
"417","A/Indiana/8/2018","EPI_ISL_305809",2018.1,"Indiana","3C.3a1","GISAID"
"418","A/Peru/6019/2019","EPI_ISL_430758",2019.681,"Peru","3C.3a1","GISAID"
"419","A/Wellington/52/2019","EPI_ISL_406624",2019.642,"Wellington","3C.3a1","GISAID"
"420","A/Wellington/53/2019","EPI_ISL_406625",2019.727,"Wellington","3C.3a1","GISAID"
"421","A/Newcastle/1/2021","EPI_ISL_5933276",2021.747,"Newcastle","3C.3a1","GISAID"
"422","A/Brisbane/501/2021","EPI_ISL_3355458",2021.374,"Brisbane","3C.3a1","GISAID"
"423","A/Bolivia/3906/2018","EPI_ISL_332974",2018.692,"Bolivia","3C.3a1","GISAID"
"424","A/Finland/114/2019","EPI_ISL_367846",2019.327,"Finland","3C.3a1","GISAID"
"425","A/Victoria/975/2019","EPI_ISL_389035",2019.314,"Victoria","3C.3a1","GISAID"
"426","A/Santiago/49892/2019","EPI_ISL_390209",2019.423,"Santiago","3C.3a1","GISAID"
"427","A/Pennsylvania/866/2019","EPI_ISL_362427",2019.259,"Pennsylvania","3C.3a1","GISAID"
"428","A/Argentina/2852/2019","EPI_ISL_402399",2019.867,"Argentina","3C.3a1","GISAID"
"429","A/Peru/6219/2019","EPI_ISL_409422",2019.971,"Peru","3C.3a1","GISAID"
"430","A/Argentina/1333/2019","EPI_ISL_394918",2019.536,"Argentina","3C.3a1","GISAID"
"431","A/Peru/6619/2019","EPI_ISL_413245",2019.774,"Peru","3C.3a1","GISAID"
"432","A/Picardie/1898/2019","EPI_ISL_353979",2019.267,"Picardie","3C.3a1","GISAID"
"433","A/Malta/53539/2019","EPI_ISL_355076",2019.062,"Malta","3C.3a1","GISAID"
"434","A/Nepal/20FL0243/2020","EPI_ISL_577618",2020.097,"Nepal","3C.3a1","GISAID"
"435","A/Sweden/87/2020","EPI_ISL_447874",2020.16,"Sweden","3C.3a1","GISAID"
"436","A/Poland/1521/2020","EPI_ISL_410029",2020.012,"Poland","3C.3a1","GISAID"
"437","A/Victoria/79/2020","EPI_ISL_429109",2020.165,"Victoria","3C.3a1","GISAID"
"438","A/Parma/391/2019","EPI_ISL_410028",2019.988,"Parma","3C.3a1","GISAID"
"439","A/Victoria/2873/2019","EPI_ISL_410167",2019.993,"Victoria","3C.3a1","GISAID"
"440","A/Denmark/321/2020","EPI_ISL_407944",2020.048,"Denmark","3C.3a1","GISAID"
"441","A/Estonia/126086/2020","EPI_ISL_498303",2020.081,"Estonia","3C.3a1","GISAID"
"442","A/Estonia/127241/2020","EPI_ISL_500733",2020.176,"Estonia","3C.3a1","GISAID"
"443","A/Tokyo/12003/2012","EPI_ISL_132217",2012.583,"Tokyo","3C","GISAID"
"444","A/Thailand/VIROAF1CS/2012","EPI_ISL_182836",2012.761,"Thailand","3C","GISAID"
"445","A/Norway/2103/2012","EPI_ISL_136396",2012.807,"Norway","3C","GISAID"
"446","A/Austria/709778/2012","EPI_ISL_134157",2012.93,"Austria","3C","GISAID"
"447","A/Vietnam/13VH3-4/2013","EPI_ISL_173301",2013.281,"Vietnam","3C","GISAID"
"448","A/Yamaguchi/4/2013","EPI_ISL_137259",2013.029,"Yamaguchi","3C","GISAID"
"449","A/Thailand/SN11893/2013","EPI_ISL_208794",2013.062,"Thailand","3C","GISAID"
"450","A/Osaka/32/2013","EPI_ISL_144504",2013.33,"Osaka","3C","GISAID"
"451","A/Yokohama/164/2012","EPI_ISL_134796",2012.988,"Yokohama","3C","GISAID"
"452","A/Tianjin-Hebei/1212/2012","EPI_ISL_133495",2012.676,"Tianjin-Hebei","3C","GISAID"
"453","A/Wellington/36/2012","EPI_ISL_128705",2012.54,"Wellington","3C","GISAID"
"454","A/Sapporo/121/2012","EPI_ISL_132215",2012.458,"Sapporo","3C","GISAID"
"455","A/Wyoming/18/2012","EPI_ISL_130196",2012.761,"Wyoming","3C","GISAID"
"456","A/Uganda/3634/2012","EPI_ISL_138007",2012.925,"Uganda","3C","GISAID"
"457","A/Zhejiang-Yuecheng/1612/2013","EPI_ISL_153297",2013.766,"Zhejiang-Yuecheng","3C","GISAID"
"458","A/Victoria/711/2013","EPI_ISL_141564",2013.092,"Victoria","3C","GISAID"
"459","A/Tianjin-Hexi/1250/2012","EPI_ISL_133494",2012.764,"Tianjin-Hexi","3C","GISAID"
"460","A/Yokohama/93/2013","EPI_ISL_138571",2013.095,"Yokohama","3C","GISAID"
"461","A/Ulaanbaatar/702/2013","EPI_ISL_140305",2013.097,"Ulaanbaatar","3C","GISAID"
"462","A/Singapore/22/2012","EPI_ISL_128750",2012.43,"Singapore","3C","GISAID"
"463","A/Thailand/KS10521/2012","EPI_ISL_208779",2012.876,"Thailand","3C","GISAID"
"464","A/Wyoming/20/2012","EPI_ISL_132109",2012.846,"Wyoming","3C.2","GISAID"
"465","A/Yalova/4145/2013","EPI_ISL_156914",2013.982,"Yalova","3C.2","GISAID"
"466","A/Thailand/PY12558/2013","EPI_ISL_208788",2013.114,"Thailand","3C.2","GISAID"
"467","A/PassoFundo/LACENRS-1533/2013","EPI_ISL_263271",2013.464,"PassoFundo","3C.2","GISAID"
"468","A/Valparaiso/34097/2013","EPI_ISL_145676",2013.371,"Valparaiso","3C.2","GISAID"
"469","A/Turkey/426/2012","EPI_ISL_136404",2012.988,"Turkey","3C.2","GISAID"
"470","A/Uruguay/396/2013","EPI_ISL_145678",2013.503,"Uruguay","3C.2","GISAID"
"471","A/Denmark/78/2012","EPI_ISL_134042",2012.928,"Denmark","3C.2","GISAID"
"472","A/Santiago/20181/2013","EPI_ISL_143262",2013.212,"Santiago","3C.2","GISAID"
"473","A/Nagasaki/13N001/2014","EPI_ISL_156851",2013.519,"Nagasaki","3C.2","GISAID"
"474","A/Venezuela/5/2013","EPI_ISL_145515",2013.429,"Venezuela","3C.2","GISAID"
"475","A/Victoria/506/2013","EPI_ISL_288250",2013.456,"Victoria","3C.2","GISAID"
"476","A/Victoria/528/2013","EPI_ISL_288236",2013.547,"Victoria","3C.2","GISAID"
"477","A/Thailand/CU-B8745/2013","EPI_ISL_205438",2013.886,"Thailand","3C.2","GISAID"
"478","A/Victoria/573/2013","EPI_ISL_151598",2013.673,"Victoria","3C.2","GISAID"
"479","A/Perth/98/2013","EPI_ISL_17264957",2013.593,"Perth","3C.2","GISAID"
"480","A/Vietnam/NT225/2013","EPI_ISL_157040",2013.525,"Vietnam","3C.2","GISAID"
"481","A/Vietnam/CD367H/2013","EPI_ISL_157091",2013.59,"Vietnam","3C.2","GISAID"
"482","A/Yokohama/159/2013","EPI_ISL_151441",2013.804,"Yokohama","3C.2","GISAID"
"483","A/Thailand/CU-B7765/2013","EPI_ISL_205366",2013.21,"Thailand","3C.2","GISAID"
"484","A/Vietnam/VP13-65/2013","EPI_ISL_144998",2013.336,"Vietnam","3C.2","GISAID"
"485","A/Vietnam/NT252/2013","EPI_ISL_157088",2013.697,"Vietnam","3C.2","GISAID"
"486","A/Taiwan/690/2013","EPI_ISL_145561",2013.39,"Taiwan","3C.2","GISAID"
"487","A/Lisbon/SU540/2014","EPI_ISL_165561",2014.155,"Lisbon","3C.2","GISAID"
"488","A/Nepal/307/2013","EPI_ISL_166923",2013.374,"Nepal","3C.2","GISAID"
"489","A/Thailand/CU-H3584/2013","EPI_ISL_205440",2013.96,"Thailand","3C.2","GISAID"
"490","A/Tokyo/32045/2014","EPI_ISL_169216",2014.095,"Tokyo","3C.2","GISAID"
"491","A/Taiwan/864/2013","EPI_ISL_154824",2013.977,"Taiwan","3C.2","GISAID"
"492","A/Taiwan/442/2014","EPI_ISL_164306",2014.229,"Taiwan","3C.2","GISAID"
"493","A/Moldova/255/2014","EPI_ISL_201704",2014.177,"Moldova","3C.2","GISAID"
"494","A/Belgium/14G0001/2014","EPI_ISL_154744",2014.007,"Belgium","3C.2","GISAID"
"495","A/Taiwan/469/2014","EPI_ISL_164308",2014.264,"Taiwan","3C.2","GISAID"
"496","A/Tokyo/34059/2014","EPI_ISL_167126",2014.333,"Tokyo","3C.2","GISAID"
"497","A/Yamagata/197/2014","EPI_ISL_164520",2014.253,"Yamagata","3C.2","GISAID"
"498","A/Yamagata/186/2014","EPI_ISL_164677",2014.24,"Yamagata","3C.2","GISAID"
"499","A/Bangladesh/2021/2013","EPI_ISL_157086",2013.812,"Bangladesh","3C.2","GISAID"
"500","A/Thailand/CU-H3626/2014","EPI_ISL_205394",2014.179,"Thailand","3C.2","GISAID"
"501","A/Thailand/CU-H3611/2014","EPI_ISL_205444",2014.152,"Thailand","3C.2","GISAID"
"502","A/Thailand/CU-H3649/2014","EPI_ISL_205395",2014.519,"Thailand","3C.2a","GISAID"
"503","A/HongKong/4801/2014-egg","EPI_ISL_195755",2014.155,"HongKong","3C.2a","GISAID"
"504","A/Thailand/CU-B11065/2014","EPI_ISL_205398",2014.785,"Thailand","3C.2a","GISAID"
"505","A/SriLanka/64/2014","EPI_ISL_192765",2014.9,"SriLanka","3C.2a","GISAID"
"506","A/SriLanka/72/2014","EPI_ISL_192766",2014.993,"SriLanka","3C.2a","GISAID"
"507","A/SriLanka/1/2015","EPI_ISL_192761",2015.004,"SriLanka","3C.2a","GISAID"
"508","A/HongKong/4801/2014","EPI_ISL_165554",2014.155,"HongKong","3C.2a","GISAID"
"509","A/Wisconsin/14/2014","EPI_ISL_164824",2014.492,"Wisconsin","3C.2a","GISAID"
"510","A/Austria/832769/2014","EPI_ISL_170370",2014.993,"Austria","3C.2a","GISAID"
"511","A/Austria/842675/2015","EPI_ISL_175589",2015.149,"Austria","3C.2a","GISAID"
"512","A/Ukraine/6456/2015","EPI_ISL_190936",2015.16,"Ukraine","3C.2a","GISAID"
"513","A/Temuco/66832/2015","EPI_ISL_203314",2015.705,"Temuco","3C.2a","GISAID"
"514","A/Singapore/TT141/2015","EPI_ISL_215700",2015.149,"Singapore","3C.2a","GISAID"
"515","A/Townsville/1/2017","EPI_ISL_269361",2017.144,"Townsville","3C.2a4","GISAID"
"516","A/Yokohama/139/2017","EPI_ISL_273493",2017.382,"Yokohama","3C.2a4","GISAID"
"517","A/Bermuda/362/2017","EPI_ISL_273646",2017.089,"Bermuda","3C.2a4","GISAID"
"518","A/Yokohama/31/2017","EPI_ISL_258261",2017.045,"Yokohama","3C.2a4","GISAID"
"519","A/Yamanashi/1790/2017","EPI_ISL_276999",2017.177,"Yamanashi","3C.2a4","GISAID"
"520","A/Honduras/188/2017","EPI_ISL_275716",2017.368,"Honduras","3C.2a4","GISAID"
"521","A/Singapore/TT0096/2017","EPI_ISL_255573",2017.07,"Singapore","3C.2a4","GISAID"
"522","A/Yokohama/84/2017","EPI_ISL_264321",2017.103,"Yokohama","3C.2a4","GISAID"
"523","A/Indonesia/Nihrd-Pal350/2017","EPI_ISL_295841",2017.171,"Indonesia","3C.2a4","GISAID"
"524","A/Bangladesh/1010/2017","EPI_ISL_270162",2017.314,"Bangladesh","3C.2a4","GISAID"
"525","A/Victoria/2018/2017","EPI_ISL_271309",2017.316,"Victoria","3C.2a4","GISAID"
"526","A/Austria/1121455/2019","EPI_ISL_344591",2019.078,"Austria","3C.2a4","GISAID"
"527","A/Latvia/3-0738053/2019","EPI_ISL_363150",2019.155,"Latvia","3C.2a4","GISAID"
"528","A/Victoria/9/2015","EPI_ISL_198091",2015.385,"Victoria","3C.2a","GISAID"
"529","A/SaoPaulo/9-134/2014","EPI_ISL_172299",2014.955,"SaoPaulo","3C.2a","GISAID"
"530","A/Hawaii/47/2014","EPI_ISL_168126",2014.544,"Hawaii","3C.2a","GISAID"
"531","A/Tocantins/4622/2015","EPI_ISL_174486",2015.051,"Tocantins","3C.2a","GISAID"
"532","A/Ordu/1603/2014","EPI_ISL_179370",2014.834,"Ordu","3C.2a","GISAID"
"533","A/Singapore/TT089/2015","EPI_ISL_215296",2015.07,"Singapore","3C.2a","GISAID"
"534","A/India/609/2015","EPI_ISL_212992",2015.141,"India","3C.2a","GISAID"
"535","A/Michigan/15/2014","EPI_ISL_166994",2014.73,"Michigan","3C.2a","GISAID"
"536","A/NewCaledonia/71/2014-egg","EPI_ISL_169519",2014.615,"NewCaledonia","3C.2a","GISAID"
"537","A/HongKong/7127/2014-egg","EPI_ISL_218462",2014.574,"HongKong","3C.2a","GISAID"
"538","A/Stavropol/8/2015","EPI_ISL_209098",2015.941,"Stavropol","3C.2a","GISAID"
"539","A/SriLanka/73/2014","EPI_ISL_192767",2014.771,"SriLanka","3C.2a","GISAID"
"540","A/SriLanka/8/2015","EPI_ISL_198067",2015.229,"SriLanka","3C.2a","GISAID"
"541","A/Mozambique/IR499/2015","EPI_ISL_201676",2015.138,"Mozambique","3C.2a","GISAID"
"542","A/SouthAfrica/R1734/2015","EPI_ISL_193189",2015.319,"SouthAfrica","3C.2a","GISAID"
"543","A/SouthAfrica/R3989/2015","EPI_ISL_193215",2015.511,"SouthAfrica","3C.2a","GISAID"
"544","A/SouthAfrica/4639/2016","EPI_ISL_232543",2016.512,"SouthAfrica","3C.2a","GISAID"
"545","A/Zambia/9-00008/2015","EPI_ISL_213106",2015.862,"Zambia","3C.2a","GISAID"
"546","A/SouthAfrica/R4157/2015","EPI_ISL_193216",2015.448,"SouthAfrica","3C.2a","GISAID"
"547","A/Santiago/3142/2016","EPI_ISL_231672",2016.034,"Santiago","3C.2a","GISAID"
"548","A/Sapporo/71/2015","EPI_ISL_210374",2015.955,"Sapporo","3C.2a","GISAID"
"549","A/Bangladesh/3400/2015","EPI_ISL_195894",2015.396,"Bangladesh","3C.2a","GISAID"
"550","A/Tunisia/559/2016","EPI_ISL_213097",2016.034,"Tunisia","3C.2a","GISAID"
"551","A/South-Africa/VW0105/2016","EPI_ISL_237661",2016.602,"South-Africa","3C.2a","GISAID"
"552","A/Bangladesh/203006/2015","EPI_ISL_208595",2015.922,"Bangladesh","3C.2a","GISAID"
"553","A/Phuket/421/2016","EPI_ISL_249988",2016.933,"Phuket","3C.2a","GISAID"
